Date,Opponent,Competition,Goals For,Goals Against,Possession ,Shots,Opp Shots,Passes Completed,Possession Minutes,Contested Possession,Opp Possession Minutes,"Competition Adjustment (1 = Playoffs, 2 = MLS Flex Event, 3 = Team Sucks)",Goal Differential,Win/Loss/Draw Adjustment,Total Possession,Passes per Minute (in Possession)
6/19/2024,U16 Sacramento Republic,MLS Next Playoffs,0,10,51%,9,31,297,21,55,21,1,-10,0,97,3.06
12/7/2023,U16 Albion,MLS Next Showcase,2,0,62%,16,7,304,24,54,15,1,2,1,93,3.27
12/9/2023,U16 St Louis,MLS Next Showcase,2,2,60%,13,10,317,24,54,16,1,0,0.5,94,3.37
12/10/2023,U16 Miami,MLS Next Showcase,0,3,62%,6,19,365,24,53,15,1,-3,0,92,3.97
,,,,,,,,,,,,,0,0.5,0,#DIV/0!
,,,,,,,,,,,,,0,0.5,0,#DIV/0!
,,,,,,,,,,,,,0,0.5,0,#DIV/0!
,,,,,,,,,,,,,0,0.5,0,#DIV/0!
,,,,,,,,,,,,,0,0.5,0,#DIV/0!
,,,,,,,,,,,,,0,0.5,0,#DIV/0!
,,,,,,,,,,,,,0,0.5,0,#DIV/0!
,,,,,,,,,,,,,0,0.5,0,#DIV/0!
,,,,,,,,,,,,,0,0.5,0,#DIV/0!
,,,,,,,,,,,,,0,0.5,0,#DIV/0!
,,,,,,,,,,,,,0,0.5,0,#DIV/0!
,,,,,,,,,,,,,0,0.5,0,#DIV/0!
,,,,,,,,,,,,,0,0.5,0,#DIV/0!
,,,,,,,,,,,,,0,0.5,0,#DIV/0!
